Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,Low CI,High CI,Confidence Interval,Quartile Range,Suppression Flag
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Oregon,Oregon,3.4,44,"Mar 30 - Apr 11, 2022",03/30/2022,04/11/2022,19.2,13.4,26.1,13.4 - 26.1,17.0-26.4,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,3.4,44,"Mar 30 - Apr 11, 2022",03/30/2022,04/11/2022,19.3,13.3,26.7,13.3 - 26.7,17.0-26.4,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Rhode Island,Rhode Island,3.4,44,"Mar 30 - Apr 11, 2022",03/30/2022,04/11/2022,16.5,10.2,24.6,10.2 - 24.6,14.7-16.9,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,South Carolina,South Carolina,3.4,44,"Mar 30 - Apr 11, 2022",03/30/2022,04/11/2022,14.6,9.6,21.0,9.6 - 21.0,12.6-14.6,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,South Dakota,South Dakota,3.4,44,"Mar 30 - Apr 11, 2022",03/30/2022,04/11/2022,9.3,4.8,16.0,4.8 - 16.0,<=12.5,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Tennessee,Tennessee,3.4,44,"Mar 30 - Apr 11, 2022",03/30/2022,04/11/2022,13.4,8.0,20.6,8.0 - 20.6,12.6-14.6,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Texas,Texas,3.4,44,"Mar 30 - Apr 11, 2022",03/30/2022,04/11/2022,15.6,11.5,20.5,11.5 - 20.5,14.7-16.9,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Utah,Utah,3.4,44,"Mar 30 - Apr 11, 2022",03/30/2022,04/11/2022,12.8,8.7,18.1,8.7 - 18.1,12.6-14.6,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Vermont,Vermont,3.4,44,"Mar 30 - Apr 11, 2022",03/30/2022,04/11/2022,14.5,8.2,23.1,8.2 - 23.1,12.6-14.6,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Virginia,Virginia,3.4,44,"Mar 30 - Apr 11, 2022",03/30/2022,04/11/2022,18.0,12.7,24.5,12.7 - 24.5,17.0-26.4,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Washington,Washington,3.4,44,"Mar 30 - Apr 11, 2022",03/30/2022,04/11/2022,16.7,12.2,22.0,12.2 - 22.0,14.7-16.9,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,West Virginia,West Virginia,3.4,44,"Mar 30 - Apr 11, 2022",03/30/2022,04/11/2022,11.2,5.4,19.7,5.4 - 19.7,<=12.5,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Wisconsin,Wisconsin,3.4,44,"Mar 30 - Apr 11, 2022",03/30/2022,04/11/2022,8.2,4.4,13.7,4.4 - 13.7,<=12.5,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Wyoming,Wyoming,3.4,44,"Mar 30 - Apr 11, 2022",03/30/2022,04/11/2022,9.7,5.2,16.3,5.2 - 16.3,<=12.5,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",National Estimate,United States,United States,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,20.8,20.1,21.6,20.1 - 21.6,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Age,United States,18 - 29 years,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,17.7,15.4,20.2,15.4 - 20.2,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Age,United States,30 - 39 years,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,21.5,19.8,23.4,19.8 - 23.4,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Age,United States,40 - 49 years,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,19.3,17.9,20.9,17.9 - 20.9,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Age,United States,50 - 59 years,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,22.0,20.4,23.7,20.4 - 23.7,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Age,United States,60 - 69 years,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,21.0,19.6,22.5,19.6 - 22.5,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Age,United States,70 - 79 years,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,23.3,21.5,25.2,21.5 - 25.2,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Age,United States,80 years and above,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,22.5,18.6,26.8,18.6 - 26.8,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Sex,United States,Male,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,18.6,17.6,19.7,17.6 - 19.7,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Sex,United States,Female,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,22.9,22.0,23.9,22.0 - 23.9,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Gender identity,United States,Cis-gender male,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,18.3,17.2,19.4,17.2 - 19.4,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Gender identity,United States,Cis-gender female,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,22.4,21.5,23.3,21.5 - 23.3,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Gender identity,United States,Transgender,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,44.9,32.8,57.4,32.8 - 57.4,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Sexual orientation,United States,Gay or lesbian,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,28.5,23.0,34.5,23.0 - 34.5,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Sexual orientation,United States,Straight,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,20.1,19.3,20.9,19.3 - 20.9,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Sexual orientation,United States,Bisexual,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,25.1,21.3,29.1,21.3 - 29.1,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,24.7,22.1,27.3,22.1 - 27.3,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,19.1,18.4,19.8,18.4 - 19.8,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,25.7,23.1,28.4,23.1 - 28.4,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,19.0,16.2,22.1,16.2 - 22.1,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,23.9,20.1,28.2,20.1 - 28.2,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Education,United States,Less than a high school diploma,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,21.8,18.1,25.7,18.1 - 25.7,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Education,United States,High school diploma or GED,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,19.7,18.1,21.3,18.1 - 21.3,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Education,United States,Some college/Associate's degree,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,22.1,20.8,23.5,20.8 - 23.5,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,20.5,19.8,21.3,19.8 - 21.3,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Disability status,United States,With disability,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,32.6,30.6,34.7,30.6 - 34.7,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Disability status,United States,Without disability,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,18.7,17.8,19.5,17.8 - 19.5,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Alabama,Alabama,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,18.9,14.8,23.5,14.8 - 23.5,15.7-18.9,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Alaska,Alaska,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,17.9,14.6,21.7,14.6 - 21.7,15.7-18.9,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Arizona,Arizona,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,21.5,17.8,25.5,17.8 - 25.5,19.0-22.5,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Arkansas,Arkansas,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,17.5,14.0,21.6,14.0 - 21.6,15.7-18.9,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,California,California,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,28.0,24.9,31.1,24.9 - 31.1,22.6-30.7,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Colorado,Colorado,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,20.0,17.1,23.2,17.1 - 23.2,19.0-22.5,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Connecticut,Connecticut,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,23.1,19.1,27.4,19.1 - 27.4,22.6-30.7,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Delaware,Delaware,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,26.4,19.8,33.8,19.8 - 33.8,22.6-30.7,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,District of Columbia,District of Columbia,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,30.7,24.6,37.3,24.6 - 37.3,22.6-30.7,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Florida,Florida,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,21.0,18.1,24.2,18.1 - 24.2,19.0-22.5,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Georgia,Georgia,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,20.1,17.4,23.1,17.4 - 23.1,19.0-22.5,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Hawaii,Hawaii,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,27.2,21.4,33.6,21.4 - 33.6,22.6-30.7,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Idaho,Idaho,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,14.4,11.3,18.0,11.3 - 18.0,10.1-15.6,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Illinois,Illinois,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,17.4,14.4,20.8,14.4 - 20.8,15.7-18.9,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Indiana,Indiana,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,11.7,9.5,14.1,9.5 - 14.1,10.1-15.6,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Iowa,Iowa,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,14.0,10.5,18.1,10.5 - 18.1,10.1-15.6,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Kansas,Kansas,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,15.6,12.5,19.2,12.5 - 19.2,10.1-15.6,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Kentucky,Kentucky,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,15.2,12.2,18.6,12.2 - 18.6,10.1-15.6,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Louisiana,Louisiana,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,16.8,12.0,22.4,12.0 - 22.4,15.7-18.9,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Maine,Maine,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,14.8,10.1,20.7,10.1 - 20.7,10.1-15.6,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Maryland,Maryland,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,25.6,22.1,29.3,22.1 - 29.3,22.6-30.7,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Massachusetts,Massachusetts,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,24.7,21.9,27.6,21.9 - 27.6,22.6-30.7,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Michigan,Michigan,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,20.5,17.2,24.1,17.2 - 24.1,19.0-22.5,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Minnesota,Minnesota,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,17.5,14.1,21.4,14.1 - 21.4,15.7-18.9,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Mississippi,Mississippi,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,19.1,12.7,27.1,12.7 - 27.1,19.0-22.5,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Missouri,Missouri,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,16.9,13.7,20.5,13.7 - 20.5,15.7-18.9,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Montana,Montana,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,14.4,11.1,18.3,11.1 - 18.3,10.1-15.6,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Nebraska,Nebraska,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,14.7,11.5,18.4,11.5 - 18.4,10.1-15.6,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Nevada,Nevada,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,18.2,14.3,22.5,14.3 - 22.5,15.7-18.9,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,New Hampshire,New Hampshire,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,18.8,15.3,22.8,15.3 - 22.8,15.7-18.9,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,New Jersey,New Jersey,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,27.3,23.6,31.2,23.6 - 31.2,22.6-30.7,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,New Mexico,New Mexico,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,22.5,18.8,26.7,18.8 - 26.7,19.0-22.5,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,New York,New York,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,23.2,18.0,29.1,18.0 - 29.1,22.6-30.7,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,North Carolina,North Carolina,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,20.8,17.2,24.8,17.2 - 24.8,19.0-22.5,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,North Dakota,North Dakota,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,16.6,11.9,22.3,11.9 - 22.3,15.7-18.9,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Ohio,Ohio,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,20.5,16.0,25.7,16.0 - 25.7,19.0-22.5,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Oklahoma,Oklahoma,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,15.1,11.7,19.0,11.7 - 19.0,10.1-15.6,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Oregon,Oregon,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,26.3,23.1,29.7,23.1 - 29.7,22.6-30.7,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,19.3,16.4,22.6,16.4 - 22.6,19.0-22.5,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Rhode Island,Rhode Island,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,23.1,17.9,29.1,17.9 - 29.1,22.6-30.7,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,South Carolina,South Carolina,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,18.6,14.9,22.7,14.9 - 22.7,15.7-18.9,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,South Dakota,South Dakota,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,13.2,8.9,18.6,8.9 - 18.6,10.1-15.6,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Tennessee,Tennessee,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,18.9,14.3,24.2,14.3 - 24.2,15.7-18.9,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Texas,Texas,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,19.9,17.0,23.1,17.0 - 23.1,19.0-22.5,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Utah,Utah,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,15.5,12.7,18.6,12.7 - 18.6,10.1-15.6,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Vermont,Vermont,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,22.3,17.9,27.3,17.9 - 27.3,19.0-22.5,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Virginia,Virginia,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,18.6,15.7,21.8,15.7 - 21.8,15.7-18.9,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Washington,Washington,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,22.7,19.7,25.9,19.7 - 25.9,22.6-30.7,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,West Virginia,West Virginia,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,16.4,11.0,23.0,11.0 - 23.0,15.7-18.9,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Wisconsin,Wisconsin,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,14.7,12.4,17.2,12.4 - 17.2,10.1-15.6,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Wyoming,Wyoming,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,10.1,7.1,13.7,7.1 - 13.7,10.1-15.6,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",National Estimate,United States,United States,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,15.7,14.8,16.7,14.8 - 16.7,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Education of adult respondent,United States,High school diploma or GED or lower,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,16.5,14.3,18.8,14.3 - 18.8,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Education of adult respondent,United States,Some college/Associate's degree,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,17.0,15.2,18.9,15.2 - 18.9,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Education of adult respondent,United States,Bachelor's degree or higher,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,13.9,12.9,15.0,12.9 - 15.0,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Race/Hispanic ethnicity of adult respondent,United States,Hispanic or Latino,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,18.0,14.9,21.4,14.9 - 21.4,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Race/Hispanic ethnicity of adult respondent,United States,"Non-Hispanic White, single race",3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,14.2,13.2,15.2,13.2 - 15.2,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Race/Hispanic ethnicity of adult respondent,United States,"Non-Hispanic Black, single race",3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,18.1,14.4,22.2,14.4 - 22.2,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Race/Hispanic ethnicity of adult respondent,United States,"Non-Hispanic Asian, single race",3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,14.1,11.1,17.6,11.1 - 17.6,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Race/Hispanic ethnicity of adult respondent,United States,"Non-Hispanic, other races and multiple races",3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,21.7,16.6,27.5,16.6 - 27.5,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Current US Armed Forces or National Guard service of adult respondent or spouse,United States,Yes,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,14.2,8.7,21.4,8.7 - 21.4,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Current US Armed Forces or National Guard service of adult respondent or spouse,United States,No,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,15.8,14.9,16.8,14.9 - 16.8,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Health insurance of adult respondent,United States,Private only,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,14.4,13.4,15.5,13.4 - 15.5,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Health insurance of adult respondent,United States,Any public,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,19.7,17.2,22.4,17.2 - 22.4,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Health insurance of adult respondent,United States,No insurance,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,12.0,9.1,15.5,9.1 - 15.5,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Total household income,United States,"Less than $25,000",3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,19.0,14.9,23.6,14.9 - 23.6,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Total household income,United States,"$25,000 - $34,999",3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,17.7,13.6,22.5,13.6 - 22.5,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Total household income,United States,"$35,000 - $49,999",3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,15.8,12.6,19.5,12.6 - 19.5,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Total household income,United States,"$50,000 - $74,999",3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,15.2,12.9,17.6,12.9 - 17.6,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Total household income,United States,"$75,000 - $99,999",3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,12.9,10.8,15.2,10.8 - 15.2,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Total household income,United States,"$100,000 - $149,999",3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,14.8,12.4,17.4,12.4 - 17.4,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Total household income,United States,"$150,000 - $199,999",3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,15.6,12.5,19.2,12.5 - 19.2,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Total household income,United States,"$200,000 and above",3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,13.8,12.1,15.6,12.1 - 15.6,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Total household income,United States,Did not report,3.4,45,"Apr 27 - May 9, 2022",04/27/2022,05/09/2022,16.4,13.2,19.9,13.2 - 19.9,,
